"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,Rest of World,Canadian,1282.95,993.67,598.72,65.96,5.89,28.25,2.00,175.68,146.28,72.29,100.90,1.47,0.00,118.10,10.88,10.81,255.16,172.90,95.95,8.61,68.33,115.38,11.41,20.00,72.24,11.73,1.00
Jun-26,FTE,Rest of World,Cape Verdean,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,3.00,3.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00
Jun-26,FTE,Rest of World,Caymanian,25.24,11.84,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.84,0.00,0.00,0.00,12.40,11.62,0.00,0.78,1.00,0.00,0.00,1.00,0.00,0.00
Jun-26,FTE,Rest of World,Central African,130.94,76.26,8.80,3.80,0.00,1.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,50.94,4.00,0.00,12.53,45.77,36.13,1.00,8.64,8.91,0.00,1.00,4.00,3.91,0.00
Jun-26,FTE,Rest of World,Chadian,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Channel Islander,4.92,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Chilean,78.94,53.13,17.70,4.80,0.00,2.00,2.00,5.90,3.00,0.00,0.00,0.00,0.00,6.63,5.83,1.00,21.97,16.31,12.00,0.00,4.31,9.51,0.00,1.40,5.64,2.47,0.00
Jun-26,FTE,Rest of World,Chinese,2075.44,1229.44,274.71,61.81,3.63,5.80,0.00,69.04,60.79,29.00,42.00,0.20,2.44,350.30,7.60,4.31,592.51,555.84,345.20,6.88,203.76,289.17,1.00,24.96,159.13,104.07,1.00
Jun-26,FTE,Rest of World,Cocos Islander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Colombian,151.40,60.77,24.67,10.45,0.00,3.30,1.00,6.92,2.00,0.00,1.00,0.00,0.00,15.64,2.84,0.00,17.61,65.67,41.53,0.00,24.15,24.96,0.00,3.00,11.00,10.96,0.00
Jun-26,FTE,Rest of World,Congolese,258.00,81.41,4.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,58.73,1.92,2.00,14.76,108.71,92.81,2.80,13.09,67.88,0.00,1.00,6.44,60.44,0.00
Jun-26,FTE,Rest of World,Costa Rican,8.12,3.51,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,1.90,3.61,3.61,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
Jun-26,FTE,Rest of World,Cuban,31.82,16.41,1.81,0.00,0.00,0.00,0.00,1.00,0.00,0.81,0.00,0.00,0.00,11.80,0.00,1.00,1.80,11.27,8.53,0.00,2.73,4.15,0.00,0.00,1.69,2.45,0.00
Jun-26,FTE,Rest of World,Djiboutian,8.92,6.76,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,2.96,0.00,0.00,0.80,1.00,1.00,0.00,0.00,1.16,0.00,0.00,0.00,1.16,0.00
Jun-26,FTE,Rest of World,Dominican,109.82,81.42,32.64,3.00,0.00,0.00,1.00,10.64,13.00,1.00,4.00,0.00,0.00,45.77,0.00,0.00,3.00,19.01,14.01,0.00,5.00,9.39,0.00,1.00,3.20,5.19,0.00
